Date,Total-Cases
2020-03-16,184
2020-03-17,247
2020-03-18,307
2020-03-19,454
2020-03-20,501
2020-03-21,645
2020-03-22,776
2020-03-23,875
2020-03-24,972
2020-03-25,1063
2020-03-26,1201
2020-03-27,1373
2020-03-28,1495
2020-03-29,1597
2020-03-30,1717
2020-03-31,1938
2020-04-01,2118
2020-04-02,2421
2020-04-03,2686
2020-04-04,2818
2020-04-05,3157
2020-04-06,3766
2020-04-07,4035
2020-04-08,4263
2020-04-09,4489
2020-04-10,4695
2020-04-11,5011
2020-04-12,5230
2020-04-13,5496
2020-04-14,5837
2020-04-15,6383
2020-04-16,6919
2020-04-17,7025
2020-04-18,7638
2020-04-19,8348
2020-04-20,8892
2020-04-21,9565
2020-04-22,10076
2020-04-23,11057
2020-04-24,11940
2020-04-25,12723
2020-04-26,13328
2020-04-27,13915
2020-04-28,14612
2020-04-29,15525
2020-04-30,16473
2020-05-01,18092
2020-05-02,19022
2020-05-03,20084
2020-05-04,20941
2020-05-05,22049
2020-05-06,23214
2020-05-07,24644
2020-05-08,26435
2020-05-09,28736
2020-05-10,30334
2020-05-11,30941
2020-05-12,32674
2020-05-13,35298
2020-05-14,35788
2020-05-15,37218
2020-05-16,38799
2020-05-17,40151
2020-05-18,42125
2020-05-19,43966
2020-05-20,45898
2020-05-21,48091
2020-05-22,50694
2020-05-23,52437
2020-05-24,54601
2020-05-25,56349
2020-05-26,57705
2020-05-27,59151
2020-05-28,61227
2020-05-29,64028
2020-05-30,66457
2020-05-31,69496
2020-06-01,72460
2020-06-02,76398
2020-06-03,80463
2020-06-04,85264
2020-06-05,89249
2020-06-06,93983
2020-06-07,98943
2020-06-08,103671
2020-06-09,108317
2020-06-10,113702
2020-06-11,119536
2020-06-12,125933
2020-06-13,132405
2020-06-14,139230
2020-06-15,144478
2020-06-16,148921
2020-06-17,154760
2020-06-18,160118
2020-06-19,165062
2020-06-20,171666
2020-06-21,176617
2020-06-22,181088
2020-06-23,185034
2020-06-24,188926
2020-06-25,192970
2020-06-26,195745
2020-06-27,198883
2020-06-28,202955
2020-06-29,206512
2020-06-30,209337
2020-07-01,212756
2020-07-02,217401
2020-07-03,221256
2020-07-04,225373
2020-07-05,229051
2020-07-06,233451
2020-07-07,237712
2020-07-08,241938
2020-07-09,245516
2020-07-10,250533
2020-07-11,255598
2020-07-12,259985
2020-07-13,266565
2020-07-14,271661
2020-07-15,278490
2020-07-16,284066
2020-07-17,285312
2020-07-18,286691
2020-07-19,287602
2020-07-20,288611
2020-07-21,289982
2020-07-22,291232
2020-07-23,292474
2020-07-24,293854
2020-07-25,294991
2020-07-26,296038
2020-07-27,297209
2020-07-28,298341
2020-07-29,299309
2020-07-30,300272
